record_type	record_id	stage	metric	value	unit	source_path	source_sha256	authority_version	dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	panel	candidate_label_count	labels_ge_100_cells	candidate_cells	panel_status	accepted	reason	workflow_order	description
dataset	Arabidopsis thaliana_PRJNA814870	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA814870	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	149174	59944	89230	0.5981605373590572	True									
dataset	Arabidopsis thaliana_PRJNA835893	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA835893	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	102921	78288	24633	0.2393389104264436	True									
dataset	Arabidopsis thaliana_PRJNA857332	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA857332	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	38504	14203	24301	0.6311292333264077	True									
dataset	Arabidopsis thaliana_PRJNA881949	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA881949	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	21339	12022	9317	0.43661839823796805	True									
dataset	Arabidopsis thaliana_PRJNA941845	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA941845	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	57462	22641	34821	0.6059830844732171	True									
dataset	Arabidopsis thaliana_PRJNA945828	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA945828	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	3788	812	2976	0.7856388595564942	True									
dataset	Arabidopsis thaliana_PRJNA995336	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA995336	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	38379	13973	24406	0.635920685791709	True									
dataset	Bombax ceiba_PRJNA850395	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Bombax ceiba_PRJNA850395	Bombax ceiba	not explicitly recorded	missing	celltype_after	13158	1496	11662	0.8863049095607235	True									
dataset	Brassica rapa_PRJCA009630	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Brassica rapa_PRJCA009630	Brassica rapa	not explicitly recorded	missing	celltype_after	22021	14753	7268	0.33004858998228964	True									
dataset	Catharanthus roseus_PRJNA759937	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Catharanthus roseus_PRJNA759937	Catharanthus roseus	not explicitly recorded	missing	celltype_after	41392	25570	15822	0.38224777734827986	True									
